order_month,price
2016-09,134.97
2016-10,40252.33
2016-12,10.9
2017-01,105304.57
2017-02,212699.45
2017-03,332042.66
2017-04,313045.61
2017-05,462821.14
2017-06,394173.61
2017-07,471503.67
2017-08,540785.89
2017-09,577879.28
2017-10,616198.86
2017-11,949737.76
2017-12,701603.03
2018-01,897993.34
2018-02,806576.87
2018-03,923256.59
2018-04,923723.21
2018-05,924173.38
2018-06,815571.27
2018-07,820749.15
2018-08,796027.5
