order_month,delivery_time
2016-09,54.0
2016-10,19.065830721003135
2016-12,4.0
2017-01,11.885839736553239
2017-02,12.303128371089537
2017-03,11.664355062413314
2017-04,13.842639593908629
2017-05,10.699724517906336
2017-06,11.343472022955524
2017-07,10.977802944507362
2017-08,10.451000834028356
2017-09,11.357338965153115
2017-10,11.245348168041435
2017-11,14.458766540642722
2017-12,14.718259744460617
2018-01,13.572033370688581
2018-02,16.39645994144264
2018-03,15.591566866267465
2018-04,10.852651757188498
2018-05,10.832308480655906
2018-06,8.641468991140325
2018-07,8.428448275862069
2018-08,7.250630075609073
