order_month,order_id
2016-09,1
2016-10,270
2016-12,1
2017-01,748
2017-02,1649
2017-03,2534
2017-04,2296
2017-05,3537
2017-06,3132
2017-07,3871
2017-08,4192
2017-09,4148
2017-10,4477
2017-11,7278
2017-12,5509
2018-01,7063
2018-02,6551
2018-03,7002
2018-04,6796
2018-05,6745
2018-06,6092
2018-07,6156
2018-08,6351
